                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.54023,                 3.8182,                 1.0498,                0.39042,                0.16667,                0.17775,                0.15602,                 0.3009,                 7.0149,                0.86246,              8.574e-05,              8.574e-05,              8.574e-05
                      2,                0.54868,                 2.3418,                 1.1005,                0.44779,                0.83221,                0.41146,                0.39038,                0.34678,                 4.9206,                0.90154,             0.00018393,             0.00018393,             0.00018393
                      3,                0.44103,                 1.4386,                0.94181,                0.30481,                   0.25,                0.31281,                0.26882,                0.70363,                 6.9505,                 1.0885,             0.00028014,             0.00028014,             0.00028014
                      4,                0.55762,                 1.3656,                  1.062,                0.50813,                0.58333,                0.62704,                0.57242,                0.53225,                 3.5596,                 1.0829,             0.00037437,             0.00037437,             0.00037437
                      5,                0.49504,                 1.4173,                 0.9914,                0.01741,                    0.5,                0.10061,                0.08857,                0.69209,                 45.395,                 1.0528,             0.00046662,             0.00046662,             0.00046662
                      6,                0.55374,                 1.1226,                 1.0106,                0.46002,                   0.75,                0.59994,                0.52139,                0.42668,                 3.4228,                 0.8743,             0.00055689,             0.00055689,             0.00055689
                      7,                0.55445,                 1.0138,                 1.0201,                 0.0974,                0.41667,                0.16093,                0.12312,                0.55976,                 13.301,                0.95968,             0.00064518,             0.00064518,             0.00064518
                      8,                0.61143,                 1.3732,                  1.064,                0.29794,                0.33333,                0.40193,                0.29805,                0.99268,                 6.7672,                 1.2885,             0.00073148,             0.00073148,             0.00073148
                      9,                0.68992,                 1.4829,                 1.1499,                0.83333,                   0.25,                0.56588,                0.37221,                 1.0439,                 10.095,                 1.3873,             0.00081581,             0.00081581,             0.00081581
                     10,                0.54856,                 1.0715,                 1.0179,                0.22055,                0.58333,                0.28431,                 0.2273,                 1.2604,                 13.705,                 1.7032,             0.00089816,             0.00089816,             0.00089816
                     11,                0.70674,                 1.2391,                 1.0757,                0.77348,                0.16667,                 0.1602,                0.06651,                 2.0788,                 6.4859,                 3.2549,             0.00097852,             0.00097852,             0.00097852
                     12,                 0.7563,                 1.4261,                 1.1238,                0.14302,                    0.5,                0.19853,                0.10935,                 1.7077,                 9.7258,                  2.325,              0.0010569,              0.0010569,              0.0010569
                     13,                0.60526,                 1.0616,                 1.0649,                0.39656,                0.41667,                0.07622,                0.03928,                 1.6121,                 20.247,                  2.699,              0.0011333,              0.0011333,              0.0011333
                     14,                0.67251,                 1.0901,                 1.1225,                0.39656,                0.41667,                0.07622,                0.03928,                 1.6121,                 20.247,                  2.699,              0.0012077,              0.0012077,              0.0012077
                     15,                0.70345,                 1.0685,                 1.1468,                0.83333,                0.08333,                0.10684,                0.03424,                 1.8551,                 20.328,                 2.8426,              0.0012309,              0.0012309,              0.0012309
                     16,                0.74891,                 1.0576,                 1.1333,                 0.3386,                   0.25,                0.00362,                0.00145,                 3.4548,                  106.5,                 6.3709,              0.0012309,              0.0012309,              0.0012309
                     17,                0.71189,                 1.1741,                 1.1245,                 0.3386,                   0.25,                0.00362,                0.00145,                 4.6501,                 50.655,                 8.6374,              0.0012168,              0.0012168,              0.0012168
                     18,                0.81181,                 1.2152,                 1.2363,                 0.3386,                   0.25,                0.00362,                0.00145,                 4.1436,                 8.2943,                  7.511,              0.0012026,              0.0012026,              0.0012026
                     19,                0.87016,                 1.2685,                 1.3473,                  0.239,                0.58333,                0.13963,                0.03954,                 1.3703,                 47.459,                 1.9128,              0.0011885,              0.0011885,              0.0011885
                     20,                0.81573,                 1.1509,                 1.2071,                0.13706,                0.33333,                0.05988,                0.01507,                 2.2094,                 53.677,                 5.1757,              0.0011744,              0.0011744,              0.0011744
                     21,                0.73634,                0.93652,                  1.176,                0.08176,                    0.5,                0.11138,                0.09767,                 1.4495,                 15.859,                 3.1946,              0.0011602,              0.0011602,              0.0011602
                     22,                0.75963,                 1.0317,                 1.1869,                0.08176,                    0.5,                0.11138,                0.09767,                 1.4495,                 15.859,                 3.1946,              0.0011461,              0.0011461,              0.0011461
                     23,                0.79134,                 1.1632,                 1.2129,                0.07641,                   0.25,                0.04496,                0.02101,                 1.9837,                 12.168,                 2.5949,              0.0011319,              0.0011319,              0.0011319
                     24,                0.82096,                 1.0974,                 1.2147,                   0.51,                0.41667,                0.28127,                0.18619,                0.99535,                 11.822,                  1.428,              0.0011178,              0.0011178,              0.0011178
                     25,                0.84089,                 1.0909,                 1.2355,                0.55844,                0.73377,                 0.7767,                0.60025,                0.79984,                 4.0693,                 1.3011,              0.0011036,              0.0011036,              0.0011036
                     26,                0.82086,                 1.0466,                 1.2061,                0.70286,                0.58105,                0.73615,                0.55129,                0.82071,                 3.5379,                 1.3119,              0.0010895,              0.0010895,              0.0010895
                     27,                0.77312,                 1.0583,                 1.2393,                0.73221,                    0.5,                0.53117,                0.20923,                 1.0923,                 3.6787,                 1.5362,              0.0010753,              0.0010753,              0.0010753
                     28,                0.72675,                0.89892,                 1.1722,                0.74987,                0.55128,                0.64142,                0.31291,                0.93764,                 2.6577,                  1.438,              0.0010612,              0.0010612,              0.0010612
                     29,                0.75265,                 0.9546,                 1.2484,                0.53397,                 0.8695,                0.74083,                 0.6091,                0.73821,                 1.5211,                 1.2564,               0.001047,               0.001047,               0.001047
                     30,                0.74271,                0.95746,                 1.1056,                0.53397,                 0.8695,                0.74083,                 0.6091,                0.73821,                 1.5211,                 1.2564,              0.0010329,              0.0010329,              0.0010329
                     31,                0.67747,                0.95215,                 1.1081,                0.35428,                0.91667,                0.58721,                0.39365,                0.86334,                 2.6207,                 1.2689,              0.0010187,              0.0010187,              0.0010187
                     32,                0.65503,                0.79656,                 1.0805,                0.36551,                    0.5,                0.22149,                0.20681,                 1.1958,                 6.6236,                 1.7382,              0.0010046,              0.0010046,              0.0010046
                     33,                0.77802,                0.93839,                 1.2128,                0.03128,                0.41667,                0.05108,                0.01387,                 1.7053,                 254.96,                 3.5651,             0.00099044,             0.00099044,             0.00099044
                     34,                0.69677,                0.89236,                 1.1333,                0.07505,                    0.5,                0.08948,                0.03495,                 1.8214,                 256.06,                 4.8935,             0.00097629,             0.00097629,             0.00097629
                     35,                 0.6672,                0.77711,                 1.0976,                0.64038,                0.33333,                0.17965,                0.10751,                 2.1888,                 7.9751,                 4.1677,             0.00096215,             0.00096215,             0.00096215
                     36,                0.59914,                0.72475,                  1.073,                0.82282,                    0.5,                0.54065,                0.31284,                  1.961,                 3.4025,                 3.6208,               0.000948,               0.000948,               0.000948
                     37,                0.66991,                0.75853,                 1.1806,                0.36882,                0.46702,                0.49682,                0.26594,                 2.2024,                  3.695,                 3.2018,             0.00093385,             0.00093385,             0.00093385
                     38,                0.63098,                0.88188,                 1.0864,                0.36882,                0.46702,                0.49682,                0.26594,                 2.2024,                  3.695,                 3.2018,              0.0009197,              0.0009197,              0.0009197
                     39,                0.71357,                0.85165,                 1.1525,                0.33499,                0.33302,                0.32409,                0.22042,                 2.0138,                 69.535,                  3.068,             0.00090556,             0.00090556,             0.00090556
                     40,                0.69004,                0.79741,                 1.1338,                0.33803,                0.32174,                0.35065,                0.24754,                 1.5397,                 93.506,                  2.711,             0.00089141,             0.00089141,             0.00089141
                     41,                0.69561,                0.76855,                 1.1683,                0.37623,                0.58333,                0.41446,                0.25918,                 1.3127,                 8.0192,                 2.0748,             0.00087726,             0.00087726,             0.00087726
                     42,                 0.7712,                0.92035,                 1.2747,                0.70018,                0.58333,                0.63461,                0.46492,                 1.2372,                 1.8342,                 1.8399,             0.00086312,             0.00086312,             0.00086312
                     43,                0.69817,                  0.856,                 1.1639,                0.64874,                0.64512,                0.66012,                0.54314,                0.97363,                 1.7386,                 1.3978,             0.00084897,             0.00084897,             0.00084897
                     44,                0.67788,                0.75475,                 1.1993,                0.69528,                0.58333,                0.80655,                0.63924,                0.71474,                 1.3569,                 1.2212,             0.00083482,             0.00083482,             0.00083482
                     45,                 0.6784,                0.71123,                 1.1334,                0.81856,                0.67007,                0.79197,                0.64848,                0.63805,                 1.3087,                 1.1991,             0.00082067,             0.00082067,             0.00082067
                     46,                0.60997,                0.72416,                 1.1224,                0.81856,                0.67007,                0.79197,                0.64848,                0.63805,                 1.3087,                 1.1991,             0.00080653,             0.00080653,             0.00080653
                     47,                0.63017,                 0.7391,                 1.1001,                0.82987,                0.91667,                0.89685,                0.77517,                0.62864,                 1.5033,                  1.195,             0.00079238,             0.00079238,             0.00079238
                     48,                0.70819,                0.76509,                 1.1625,                0.85196,                 0.8993,                0.87867,                0.74454,                0.66568,                 1.3441,                  1.171,             0.00077823,             0.00077823,             0.00077823
                     49,                0.69749,                0.83054,                 1.1397,                0.83087,                0.89119,                0.89295,                0.75756,                0.67696,                  1.052,                 1.1777,             0.00076409,             0.00076409,             0.00076409
                     50,                0.69124,                0.78108,                 1.1215,                0.88962,                0.83208,                0.92833,                0.82086,                0.65049,                 1.0359,                 1.1261,             0.00074994,             0.00074994,             0.00074994
                     51,                0.69174,                0.70651,                 1.1558,                0.88777,                0.85111,                0.94639,                0.80503,                0.63372,                 1.1414,                 1.1208,             0.00073579,             0.00073579,             0.00073579
                     52,                0.65684,                0.67598,                 1.1397,                0.90877,                0.91667,                0.95929,                 0.8083,                0.64642,                0.93184,                 1.1449,             0.00072164,             0.00072164,             0.00072164
                     53,                0.63577,                0.70361,                 1.1315,                0.87216,                0.91667,                0.94639,                0.80603,                0.61142,                0.88734,                 1.1004,              0.0007075,              0.0007075,              0.0007075
                     54,                0.55908,                0.63005,                 1.0815,                0.87216,                0.91667,                0.94639,                0.80603,                0.61142,                0.88734,                 1.1004,             0.00069335,             0.00069335,             0.00069335
                     55,                 0.5817,                0.61085,                 1.0839,                0.97424,                0.86006,                0.93944,                0.76254,                0.63711,                0.85463,                 1.0977,              0.0006792,              0.0006792,              0.0006792
                     56,                0.59665,                0.64268,                 1.0754,                0.93286,                0.82239,                0.92417,                0.74107,                0.72071,                0.78073,                 1.1636,             0.00066506,             0.00066506,             0.00066506
                     57,                 0.6837,                0.75684,                 1.1528,                0.82722,                0.89204,                0.91167,                0.76707,                0.69499,                0.80746,                  1.139,             0.00065091,             0.00065091,             0.00065091
                     58,                 0.6908,                0.71269,                 1.1284,                0.79601,                0.96283,                0.91762,                0.79541,                0.67925,                0.79774,                 1.1198,             0.00063676,             0.00063676,             0.00063676
                     59,                0.60897,                 0.6593,                 1.0912,                0.74323,                0.84738,                0.88204,                0.78936,                0.63894,                0.86314,                  1.076,             0.00062262,             0.00062262,             0.00062262
                     60,                0.55938,                0.58351,                 1.0482,                0.69095,                0.79974,                0.85397,                0.79877,                0.58189,                0.84686,                 1.0382,             0.00060847,             0.00060847,             0.00060847
                     61,                0.52015,                0.57909,                 1.0424,                0.86156,                0.69438,                0.84421,                0.77746,                0.51018,                 0.7834,                0.99977,             0.00059432,             0.00059432,             0.00059432
                     62,                0.49738,                0.51337,                0.98654,                0.86156,                0.69438,                0.84421,                0.77746,                0.51018,                 0.7834,                0.99977,             0.00058017,             0.00058017,             0.00058017
                     63,                0.51656,                0.62949,                 1.0302,                0.97122,                0.82731,                0.90611,                0.84347,                0.49548,                0.71363,                 1.0096,             0.00056603,             0.00056603,             0.00056603
                     64,                0.53729,                 0.6453,                 1.0249,                0.91855,                0.86293,                0.91573,                 0.8192,                0.56888,                0.79828,                 1.0719,             0.00055188,             0.00055188,             0.00055188
                     65,                0.59997,                 0.6731,                 1.1399,                0.84967,                0.91667,                0.91509,                0.81039,                0.54964,                0.68626,                 1.0653,             0.00053773,             0.00053773,             0.00053773
                     66,                0.56523,                0.68055,                 1.0496,                0.87196,                0.82249,                0.85467,                0.74522,                 0.6337,                 1.0392,                 1.1226,             0.00052359,             0.00052359,             0.00052359
                     67,                 0.5302,                0.57303,                 1.0395,                0.88109,                0.82857,                0.83306,                0.72661,                0.65687,                0.91417,                 1.0968,             0.00050944,             0.00050944,             0.00050944
                     68,                  0.491,                0.55593,                0.99814,                0.94524,                   0.75,                0.75422,                0.67428,                0.78711,                 1.1648,                 1.1248,             0.00049529,             0.00049529,             0.00049529
                     69,                0.49945,                 0.5733,                 1.0414,                0.73106,                   0.75,                0.70801,                0.67323,                0.89853,                 1.3973,                 1.2361,             0.00048114,             0.00048114,             0.00048114
                     70,                 0.4852,                0.64644,                 1.0098,                0.73106,                   0.75,                0.70801,                0.67323,                0.89853,                 1.3973,                 1.2361,               0.000467,               0.000467,               0.000467
                     71,                0.50066,                0.60761,                0.99515,                0.63381,                   0.75,                0.70779,                0.64381,                0.94747,                 1.3684,                 1.2445,             0.00045285,             0.00045285,             0.00045285
                     72,                0.51157,                0.58086,                 1.0259,                0.72455,                   0.75,                0.71676,                0.63875,                0.93771,                 1.1246,                 1.2949,              0.0004387,              0.0004387,              0.0004387
                     73,                0.50231,                0.55844,                0.99959,                0.79183,                   0.75,                0.80163,                0.69563,                0.80828,                0.85726,                 1.2486,             0.00042456,             0.00042456,             0.00042456
                     74,                0.52733,                0.54537,                 1.0188,                0.78733,                0.90229,                0.87105,                0.72852,                0.72857,                0.74524,                  1.163,             0.00041041,             0.00041041,             0.00041041
                     75,                 0.4874,                0.50165,                 1.0321,                0.77875,                0.85517,                0.85155,                0.76575,                0.74485,                0.87107,                   1.14,             0.00039626,             0.00039626,             0.00039626
                     76,                0.47263,                0.50637,                0.99974,                0.87669,                0.83333,                0.85364,                0.77056,                0.64017,                0.91087,                 1.0366,             0.00038211,             0.00038211,             0.00038211
